Case_Number,Date,Offense,Description,Block,City,State,latitude,longitude
2018005543,5/28/18,Assault,DOMESTIC  PHYSI,ROLLING MEADOWS DR,,IL,41.714515,-88.167977
2018009022,8/25/18,Assault,DOMESTIC  PHYSI,W JEFFERSON AV,,IL,41.773323,-88.161357
2018011188,10/24/18,Assault,DOMESTIC  PHYSI,FAIRWAY DR,,IL,41.790881,-88.217111
2018002304,3/4/18,Assault,DOMESTIC  PHYSI,INLAND CR,,IL,41.782273,-88.210409
2018006041,6/9/18,Assault,SUICIDE THREATS,CONTINENTAL AV,,IL,41.780422,-88.210492
2018005971,6/7/18,Assault,DISORDERLY COND,W JEFFERSON AV,,IL,41.769293,-88.201762
2018010823,10/13/18,Assault,FIGHT IN PROGRE,S WASHINGTON ST,,IL,41.777618,-88.147607
2018003729,4/13/18,Assault,DOMESTIC  VERBA,COUNTRY LAKES DR,,IL,41.795713,-88.208936
2018009473,9/6/18,Assault,DISORDERLY COND,S WASHINGTON ST,,IL,41.760923,-88.148953
2018003699,4/12/18,Assault,DISORDERLY COND,CEDAR GLADE DR,,IL,41.714776,-88.201887
2018011882,11/11/18,Assault,ASSIST FIRE DEP,N MILL ST,,IL,41.787926,-88.154513
2018012640,12/2/18,Assault,BATTERY  COLD,QUINCY AV,,IL,41.774818,-88.191067
2018006961,7/2/18,Assault,DOMESTIC  PHYSI,AURORA AV,,IL,41.766168,-88.177991
2018005991,6/8/18,Assault,DOMESTIC  VERBA,W OGDEN AV,,IL,41.785763,-88.142893
2018002693,3/15/18,Assault,DOMESTIC  PHYSI,HERITAGE HILL DR,,IL,41.783619,-88.166804
2018008550,8/13/18,Assault,DOMESTIC  PHYSI,INLAND CR,,IL,41.782273,-88.210409
2018010404,9/17/18,Assault,DISORDERLY COND,AURORA AV,,IL,41.768891,-88.154965
2018004561,5/5/18,Assault,DISORDERLY COND,E CHICAGO AV,,IL,41.771594,-88.146739
2018011452,10/18/18,Assault,DISORDERLY COND,S NAPER BL,,IL,41.751878,-88.115175
1800085536,9/16/18,Assault,BATT/SIMPLE/CC,8556 SCOTLAND AV,BATON ROUGE,LA,30.525105,-91.180366
1800117985,12/25/18,Assault,DOMESTIC ABUSE BATT,2340 THOMAS H DELPIT RD,BATON ROUGE,LA,30.425826,-91.176772
1800117985,12/25/18,ASSAULT,DOMESTIC ABUSE BATTERY,2340 THOMAS H DELPIT RD,BATON ROUGE,LA,30.425826,-91.176772
1900069432,8/15/18,Assault,BATT/2ND DEGREE,2470 WASHINGTON AV,BATON ROUGE,LA,30.465123,-91.164191
1800105111,11/14/18,HOMICIDE,MURDER/GUN 2ND DEGREE,4896 GUS YOUNG AV,BATON ROUGE,LA,30.462195,-91.141706
1800009009,1/28/18,HOMICIDE,MURDER/GUN 2ND DEGREE,890 SCENIC HW,BATON ROUGE,LA,30.456105,-91.167387
1800119872,12/31/18,Assault,BATT/SIMPLE/CC,1875 PERKINS RD,BATON ROUGE,LA,30.432433,-91.162384
1800119706,12/30/18,Assault,BATT/SIMPLE/CC,2601 SENECA ST,BATON ROUGE,LA,30.471399,-91.162015
1800054313,6/19/18,ASSAULT,ASSAULT/AGG,3708 EVANGELINE ST,BATON ROUGE,LA,30.492793,-91.152289
1800012850,2/10/18,Assault,BATT/SIMPLE/CC,5266 FREY ST,BATON ROUGE,LA,30.475834,-91.137749
1800113396,12/10/18,Assault,DOMESTIC ABUSE BATT,12254 LA MARGIE AV,BATON ROUGE,LA,30.469979,-91.045953
1800007927,1/24/18,Assault,BATT/SIMPLE,1550 N 17TH ST,BATON ROUGE,LA,30.462295,-91.172221
1800053396,6/17/18,ASSAULT,ASSAULT/AGG/CC,9810 AVE G AV,BATON ROUGE,LA,30.533587,-91.195979
1800007950,1/24/18,Assault,DOMESTIC ABUSE BATT,3328 COURTLAND DR,BATON ROUGE,LA,30.480456,-91.086392
1800119140,12/28/18,HOMICIDE,MURDER/GUN 2ND DEGREE,5360 E BROOKSTOWN DR,BATON ROUGE,LA,30.498408,-91.130103
1800045803,5/26/18,Assault,BATT/2ND DEGREE,4364 BEECH ST,BATON ROUGE,LA,30.495642,-91.146011
1800061390,7/8/18,Assault,DOMESTIC ABUSE BATTERY/CC,1919 BLVD DE PROVINCE BL,BATON ROUGE,LA,30.434035,-91.045716
1800115438,12/17/18,ASSAULT,ASSAULT/ AGG KNIFE CUTTING INST,2754 MONROE AV,BATON ROUGE,LA,30.469325,-91.161011
1800076507,8/21/18,ASSAULT,DOMESTIC ABUSE BATTERY,3700 E BROOKSTOWN DR,BATON ROUGE,LA,30.484289,-91.128064
1800030275,4/6/18,Assault,BATT/SIMPLE/CC,11585 N HARRELL'S FERRY RD,BATON ROUGE,LA,30.432412,-91.053662
1800000875,1/3/18,ASSAULT,ASSAULT/SIMPLE/CC,5906 AIRLINE HW,BATON ROUGE,LA,30.502786,-91.131658
1800096759,10/20/18,Assault,DOMESTIC ABUSE BATT,2543 MAIN ST,BATON ROUGE,LA,30.452214,-91.162081
1800081108,9/4/18,Assault,BATT/AGG GUN,1624 N 46TH ST,BATON ROUGE,LA,30.463345,-91.143685
1800026922,3/26/18,Assault,BATT/SIMPLE/CC,720 GOVERNMENT ST,BATON ROUGE,LA,30.443421,-91.183568
1800092971,10/8/18,Assault,BATT/SIMPLE/CC,2920 CANONICUS ST,BATON ROUGE,LA,30.474696,-91.163071
1800085886,9/8/18,ASSAULT,ASSAULT/SIMPLE/CC,900 LEYCESTER DR,BATON ROUGE,LA,30.386032,-91.131913
1800092637,10/7/18,Assault,BATT/SIMPLE/CC,12074 NEWCASTLE AV,BATON ROUGE,LA,30.420421,-91.048164
1800009542,2/1/18,HOMICIDE,MURDER/GUN 1ST DEGREE,6200 CASPER ST,BATON ROUGE,LA,30.505597,-91.166158
1800097173,10/21/18,Assault,DOMESTIC ABUSE BATTERY/CC,2757 FAIRFIELDS AV,BATON ROUGE,LA,30.466864,-91.160913
1800091664,8/21/18,HOMICIDE,MURDER/GUN 2ND DEGREE,1760 PLANK RD,BATON ROUGE,LA,30.464164,-91.165582
1800046032,5/27/18,Assault,BATT/SIMPLE,720 GOVERNMENT ST,BATON ROUGE,LA,30.443421,-91.183568
1800110516,12/2/18,Assault,BATT/SIMPLE,717 N 22ND ST,BATON ROUGE,LA,30.454614,-91.166053
1800010686,2/2/18,Assault,DOMESTIC ABUSE BATTERY/CC,4858 MAPLE ST,BATON ROUGE,LA,30.494419,-91.152479
1800104621,11/13/18,Assault,DOMESTIC ABUSE BATTERY/CC,4328 LAKE LIMESTONE DR,BATON ROUGE,LA,30.413681,-91.049437
